date,max_lifespan,n_bars,total_persistence
2010-03-31,0.04372875392436981,5,0.11383120715618134
2010-04-30,0.04372875392436981,5,0.11383120715618134
2010-05-31,0.04372875392436981,5,0.11383120715618134
2010-06-30,0.04372875392436981,4,0.10881291329860687
2010-07-31,0.10494302213191986,4,0.19380047917366028
2010-08-31,0.1111549437046051,5,0.29582834243774414
2010-09-30,0.12217256426811218,5,0.3068459630012512
2010-10-31,0.12217256426811218,5,0.3068459630012512
2010-11-30,0.12217256426811218,5,0.3068459630012512
2010-12-31,0.12217256426811218,5,0.27000872790813446
2011-01-31,0.1239766776561737,7,0.26020844280719757
2011-02-28,0.10392695665359497,8,0.2267042100429535
2011-03-31,0.07993781566619873,7,0.21571961045265198
2011-04-30,0.0812278538942337,7,0.17967531085014343
2011-05-31,0.08285896480083466,8,0.20693624019622803
2011-06-30,0.08285896480083466,7,0.22353622317314148
2011-07-31,0.08285896480083466,8,0.22748608887195587
2011-08-31,0.08285896480083466,8,0.2386859506368637
2011-09-30,0.08285896480083466,9,0.24481487274169922
2011-10-31,0.08285896480083466,8,0.24676361680030823
2011-11-30,0.05117414891719818,9,0.21872011572122574
2011-12-31,0.034953534603118896,7,0.18679232150316238
2012-01-31,0.03989219665527344,6,0.1642599180340767
2012-02-29,0.03230328857898712,7,0.1612473502755165
2012-03-31,0.03230328857898712,7,0.1612473502755165
2012-04-30,0.03230328857898712,7,0.1612473502755165
2012-05-31,0.03230328857898712,7,0.1612473502755165
2012-06-30,0.03230328857898712,6,0.13005568832159042
2012-07-31,0.03230328857898712,5,0.09849820286035538
2012-08-31,0.03230328857898712,4,0.07282423228025436
2012-09-30,0.03230328857898712,4,0.07282423228025436
2012-10-31,0.019466206431388855,3,0.04052094370126724
2012-11-30,0.019466206431388855,3,0.04052094370126724
2012-12-31,0.019466206431388855,3,0.04052094370126724
2013-01-31,0.019466206431388855,4,0.05533675104379654
2013-02-28,0.020215317606925964,3,0.04127005487680435
2013-03-31,0.020215317606925964,3,0.04127005487680435
2013-04-30,0.020215317606925964,2,0.02385663241147995
2013-05-31,0.020215317606925964,2,0.02385663241147995
2013-06-30,0.020215317606925964,2,0.02385663241147995
2013-07-31,0.020215317606925964,2,0.02385663241147995
2013-08-31,0.020215317606925964,1,0.020215317606925964
2013-09-30,0.020215317606925964,1,0.020215317606925964
2013-10-31,0.020215317606925964,1,0.020215317606925964
2013-11-30,0.020215317606925964,1,0.020215317606925964
2013-12-31,0.020215317606925964,1,0.020215317606925964
2014-01-31,0.020215317606925964,1,0.020215317606925964
2014-02-28,0.020215317606925964,1,0.020215317606925964
2014-03-31,0.020215317606925964,1,0.020215317606925964
2014-04-30,0.020215317606925964,2,0.02505628764629364
2014-05-31,0.020215317606925964,2,0.02505628764629364
2014-06-30,0.020215317606925964,2,0.02505628764629364
2014-07-31,0.0312328040599823,2,0.051448121666908264
2014-08-31,0.1285102367401123,3,0.17995835840702057
2014-09-30,0.1285102367401123,4,0.227496936917305
2014-10-31,0.1285102367401123,4,0.2119157314300537
2014-11-30,0.1285102367401123,3,0.20728161931037903
2014-12-31,0.1285102367401123,3,0.20728161931037903
2015-01-31,0.1285102367401123,3,0.20728161931037903
