,omega,omega_pred,delta_omega,M2_GDP
2012-05-01,15.32357851320829,16.724171726940547,-1.4005932137322574,0.6170300287947347
2012-06-01,16.370711725550432,16.866135042174754,-0.49542331662432204,0.6194507536650836
2012-07-01,15.39820473644003,17.009216642230456,-1.6110119057904253,0.6218905472636815
2012-08-01,14.730236206746271,17.206848867453843,-2.4766126607075716,0.6252605252188411
2012-09-01,15.749576384553643,17.40663467099065,-1.657058286437005,0.6286672254819782
2012-10-01,15.860477992064224,17.60860944666903,-1.7481314546048043,0.6321112515802781
2012-11-01,15.425436229537686,17.624237667409993,-2.198801437872307,0.6323777403035412
2012-12-01,15.07912245998921,17.63987907096054,-2.56075661097133,0.6326444538169549
2013-01-01,14.385873799013243,17.655533674007742,-3.269659874994499,0.6329113924050632
2013-02-01,14.21735604217356,17.73400526771794,-3.5166492255443806,0.6342494714587738
2013-03-01,14.50149959102063,17.81280936818115,-3.3113097771605187,0.635593220338983
2013-04-01,14.511655355562114,17.89194809327477,-3.380292737712656,0.6369426751592356
2013-05-01,13.858527325407133,17.89194809327477,-4.0334207678676375,0.6369426751592356
2013-06-01,12.091861717755362,17.89194809327477,-5.800086375519408,0.6369426751592356
2013-07-01,12.28359592215014,17.89194809327477,-5.608352171124631,0.6369426751592356
2013-08-01,12.210249671484886,17.963460814865442,-5.753211143380556,0.6381620931716656
2013-09-01,12.260267651130595,18.035247881935355,-5.7749802308047595,0.639386189258312
2013-10-01,12.154792508262943,18.107310876232958,-5.952518367970015,0.6406149903907752
2013-11-01,11.397869046534923,18.300839999360576,-6.902970952825653,0.6439150032195751
2013-12-01,10.801117419122283,18.496373307582076,-7.695255888459792,0.6472491909385114
2014-01-01,11.699106723084157,18.693942095915183,-6.994835372831027,0.6506180871828238
2014-02-01,12.152478695134244,18.627857710122882,-6.475379014988638,0.6494912318683699
2014-03-01,11.928505106778088,18.562001841765777,-6.633496734987689,0.6483682731791658
2014-04-01,11.950249676345477,18.496373307582076,-6.546123631236599,0.6472491909385114
2014-05-01,11.413837166849214,18.455470394372483,-7.041633227523269,0.646551724137931
2014-06-01,11.823765020026704,18.414655539103066,-6.590890519076362,0.6458557588805167
2014-07-01,12.15348176219801,18.373928457715948,-6.220446695517937,0.6451612903225806
2014-08-01,12.471387002909797,18.471820976755097,-6.0004339738453005,0.6468305304010349
2014-09-01,12.770906015435036,18.570221368785376,-5.799315353350339,0.648508430609598
2014-10-01,13.650959860383944,18.669133596404883,-5.018173736020939,0.6501950585175552
2014-11-01,16.84141162688534,18.818470399592833,-1.977058772707494,0.6527415143603134
2014-12-01,20.778162911611787,18.96898154199325,1.8091813696185355,0.655307994757536
2015-01-01,24.442751000190512,19.120680930254743,5.322070069935769,0.6578947368421053
2015-02-01,19.51752975233194,19.078422210560134,0.4391075417718042,0.6571741511500547
2015-03-01,21.50336302490457,19.0362559607117,2.46710706419287,0.6564551422319476
2015-04-01,17.749437359339833,18.99418187752959,-1.2447445181897585,0.6557377049180328
