,L,GDP,L_over_GDP,omega,M2
2011-05-31,119883.8472615068,15602.6095,7.683576728720078,13.162766778092054,9107.8
2011-06-30,123298.03003486189,15625.14475,7.891000819999565,13.428086171449003,9182.1
2011-07-31,129305.47197943446,15696.32475,8.237945763668941,13.838046272493573,9344.2
2011-08-31,151794.3108862526,15744.9695,9.640813269676554,15.926378227494766,9531.0
2011-09-30,151382.79182119854,15793.61425,9.585063268288861,15.849111848526256,9551.5
2011-10-31,151452.84692942255,15898.8955,9.525998012215537,15.802016498625115,9584.4
2011-11-30,152420.79981884058,15955.532,9.552849746335038,15.817028985507246,9636.5
2011-12-31,140355.0891318447,16012.1685,8.76552661382777,14.493653293801536,9683.9
2012-01-31,152668.0180212651,16103.3825,9.48049380440818,15.646062353577221,9757.6
2012-02-29,135459.93236322247,16137.96,8.393869631801198,13.80863344443541,9809.8
2012-03-31,133587.90384459076,16172.5375,8.26016967619279,13.556856051369586,9853.9
2012-04-30,138252.96045907683,16235.2215,8.515618986724439,13.954092318002848,9907.7
2012-05-31,152491.05921634097,16263.328,9.3763748241652,15.32357851320829,9951.4
2012-06-30,164060.72462877622,16291.4345,10.07036701579448,16.370711725550432,10021.6
2012-07-31,155129.21361726508,16344.7605,9.491066792766102,15.39820473644003,10074.5
2012-08-31,149447.084459165,16369.98,9.129338243489913,14.730236206746273,10145.6
2012-09-30,161056.74306608402,16395.199500000002,9.823408557247747,15.749576384553643,10226.1
2012-10-31,163242.3836855218,16477.3615,9.907070600200269,15.860477992064224,10292.4
2012-11-30,159836.82766684654,16534.304,9.666982515069671,15.425436229537686,10361.9
2012-12-31,158091.02778277287,16591.2465,9.528580494706825,15.07912245998921,10484.1
2013-01-31,151168.20046741108,16668.3135,9.069195900797707,14.385873799013243,10508.1
2013-02-28,149673.21573398216,16688.438000000002,8.968677340202968,14.217356042173561,10527.5
2013-03-31,153480.97137144415,16708.5625,9.185767559084999,14.50149959102063,10583.8
2013-04-30,153987.52847447625,16784.97475,9.174129289320273,14.511655355562114,10611.3
2013-05-31,147539.2677590169,16841.2625,8.760582394521604,13.858527325407133,10646.1
2013-06-30,129422.82352365096,16897.55025,7.659265491673916,12.091861717755362,10703.3
2013-07-31,131960.21427247452,17013.38325,7.756259430203251,12.28359592215014,10742.8
2013-08-31,131885.34875164257,17072.9285,7.724822882708292,12.210249671484886,10801.2
2013-09-30,133171.02722658054,17132.47375,7.773018022372895,12.260267651130597,10862.0
2013-10-31,133536.1969335292,17193.44875,7.7666906084521985,12.154792508262945,10986.3
2013-11-30,125326.40888807942,17194.8785,7.288589383639985,11.397869046534923,10995.6
2013-12-31,119461.43876723439,17196.308250000002,6.946923550712367,10.801117419122285,11060.1
2014-01-31,130220.41711330513,17277.930500000002,7.536806396651793,11.699106723084157,11130.8
2014-02-28,136068.8734536791,17358.123,7.838916307579978,12.152478695134244,11196.8
2014-03-31,133988.12646239556,17438.3155,7.683547557239434,11.928505106778088,11232.6
2014-04-30,134771.3307749214,17589.938000000002,7.661842285909216,11.950249676345477,11277.7
2014-05-31,129464.87221613726,17661.368000000002,7.330398880547489,11.413837166849214,11342.8
2014-06-30,134768.45607476638,17732.798,7.5999543938168355,11.823765020026704,11398.1
2014-07-31,139193.8266224538,17831.19075,7.806199180638219,12.15348176219801,11453.0
2014-08-31,143137.8500484966,17858.1535,8.01526597072293,12.471387002909797,11477.3
2014-09-30,147109.3434823977,17885.11625,8.225238316938404,12.770906015435035,11519.1
2014-10-31,158256.9427574171,17949.9415,8.816571505674105,13.650959860383944,11593.1
2014-11-30,195936.35114950943,17987.804,10.892733273584115,16.84141162688534,11634.2
2014-12-31,243470.2017331023,18025.6665,13.506862657927368,20.778162911611787,11717.6
2015-01-31,288551.564107449,18117.59275,15.92659511057003,24.442751000190512,11805.2
2015-02-28,232703.6037311032,18171.656499999997,12.805855301694882,19.51752975233194,11922.8
2015-03-31,256330.8389383749,18225.72025,14.064236442912312,21.503363024904566,11920.5
2015-04-30,212187.42385596398,18310.2445,11.588453876515082,17.749437359339833,11954.6
2015-05-31,218328.43112673904,18340.705,11.904037010940366,18.220455587830607,11982.6
2015-06-30,222614.53786561266,18371.1655,12.117605595878643,18.515415019762845,12023.2
2015-07-31,255307.40676328502,18410.00375,13.867862833177588,21.157487922705315,12067.0
2015-08-31,260336.80697762605,18418.3815,14.134619101989285,21.494122108456576,12112.0
2015-09-30,280238.4039215686,18426.75925,15.208230602001738,23.01960784313725,12173.9
2015-10-31,282279.74438827095,18457.836,15.293219876277531,23.08998988877654,12225.2
2015-11-30,294225.620650954,18480.535,15.92083890704214,23.887766554433224,12317.0
2015-12-31,351931.99812231754,18503.234,19.020026343628228,28.409334763948493,12387.9
2016-01-31,390286.7540435025,18572.37525,21.014369394862538,31.176798661461238,12518.5
2016-02-29,434500.1036398999,18618.8175,23.336611126882783,34.47346485134759,12603.9
2016-03-31,394285.3161485974,18665.25975,21.124019779504938,31.139752337629517,12661.8
2016-04-30,343312.7413577676,18756.93625,18.303241893129943,26.940857975843397,12743.2
2016-05-31,313284.29635594925,18802.1705,16.662134637910516,24.471511979061805,12802.0
2016-06-30,340441.9220753205,18847.40475,18.06306632616464,26.48838141025641,12852.5
2016-07-31,402772.4104581212,18941.824,21.26365499215499,31.19389171679778,12911.9
2016-08-31,360659.4206500956,18991.009,18.991061541284914,27.76503080518377,12989.7
2016-09-30,350188.51202609047,19040.194,18.392066384727514,26.82429677945373,13054.9
2016-10-31,345651.2393958204,19137.05525,18.06188229486459,26.33974756879785,13122.8
2016-11-30,306292.1099881094,19184.7315,15.965410304966184,23.18866428854538,13208.7
2016-12-31,267532.722261236,19232.40775,13.910516339860568,20.21418539325843,13234.9
2017-01-31,289259.74044157244,19319.723749999997,14.972250337770616,21.723209477652127,13315.7
2017-02-28,300191.76284584985,19359.3635,15.50628267534983,22.411067193675894,13394.8
2017-03-31,317776.6251655629,19399.00325,16.38108005191261,23.602649006622517,13463.6
2017-04-30,330313.5837182448,19502.131,16.937307195723626,24.4284064665127,13521.7
2017-05-31,342189.85387673957,19565.619,17.48934464464117,25.21868787276342,13568.9
2017-06-30,351386.93551752926,19629.107,17.901320499069534,25.874373956594326,13580.5
2017-07-31,328528.5444697834,19778.71825,16.61020397364644,24.080197643481565,13643.1
2017-08-31,345438.46303724934,19864.841500000002,17.389439681018814,25.218720152817575,13697.7
2017-09-30,306914.0866840731,19950.96475,15.38342082851272,22.328981723237597,13745.1
2017-10-31,285362.57655307354,20109.95425,14.1901156514602,20.678297733572478,13800.1
2017-11-30,277675.86768407805,20182.8205,13.75803087997924,20.058212712397737,13843.5
2017-12-31,271811.6994888756,20255.68675,13.419031546233581,19.580577269993988,13881.7
2018-01-31,270838.4061413673,20391.64275,13.28183361496794,19.48435689455388,13900.3
2018-02-28,279856.504261796,20454.7325,13.681748429699388,20.062404870624047,13949.3
2018-03-31,264033.3831058021,20517.82225,12.868489642257336,18.842434584755406,14012.7
2018-04-30,245217.6252659574,20635.3665,11.883366610714543,17.470744680851062,14035.9
2018-05-31,235720.81443298972,20689.821,11.393081382047226,16.726804123711343,14092.4
2018-06-30,222756.13296398896,20744.2755,10.738197772392146,15.756736338453791,14137.2
2018-07-31,233551.59111111113,20828.51425,11.213070135864882,16.47676767676768,14174.6
2018-08-31,220588.23359173126,20858.298499999997,10.57556222007904,15.509043927648579,14223.2
2018-09-30,204492.68521864834,20888.082749999998,9.789921251563808,14.354897000361401,14245.5
2018-10-31,229072.0211836356,20966.30025,10.925724541392828,16.067787634052692,14256.6
2018-11-30,297359.62316865416,21014.7335,14.150054444832916,20.819420783645654,14282.8
2018-12-31,338528.48640705366,21063.166749999997,16.07206031386775,23.5304922850845,14386.8
2019-01-31,308468.92729035387,21183.1845,14.561971420791519,21.33301017935046,14459.7
2019-02-28,288630.2783927217,21254.769,13.579553764744361,19.896891584533737,14506.3
2019-03-31,276701.8259461051,21326.353499999997,12.974643130908674,19.007509939625976,14557.5
2019-04-30,257266.92636351145,21477.746249999997,11.978301790557353,17.62742134908641,14594.7
2019-05-31,297114.90790899243,21557.5545,13.782403189981148,20.20585048754063,14704.4
2019-06-30,314199.3345498783,21637.36275,14.521147432807092,21.22566909975669,14802.8
2019-07-31,322593.02639656235,21771.1825,14.817432465901305,21.66973603437692,14886.8
2019-08-31,377472.9488156369,21825.194,17.295284926935217,25.20788471094915,14974.4
2019-09-30,364440.4195459033,21879.2055,16.656931146147116,24.220138203356367,15047.0
2019-10-31,381115.865448505,21887.72225,17.412312761256143,25.099667774086377,15184.1
2019-11-30,358147.25788378424,21842.2275,16.39701160899383,23.41443893068673,15296.0
2019-12-31,351936.85185185185,21796.732750000003,16.146312196806278,22.93121693121693,15347.5
2020-01-31,421426.45485812554,21303.00125,19.782492143360574,27.317282889079966,15427.1
2020-02-29,484519.7977485213,20854.7645,23.233050545764797,31.272657889715706,15493.4
2020-03-31,1115041.5184859156,20406.52775,54.641413382338676,69.54665492957747,16033.0
2020-04-30,1140005.2603878113,20394.8275,55.89678365202213,66.80253264740799,17065.3
2020-05-31,829152.5184594954,20831.364,39.80308339192265,46.23638778220452,17932.9
2020-06-30,783731.4044206947,21267.900500000003,36.85043591494584,43.099344182657276,18184.3
2020-07-31,835787.5911295912,21800.11775,38.3386732454503,45.58327558327559,18335.4
2020-08-31,793088.5164690383,21895.7985,36.22103649104363,43.076416337285906,18411.2
2020-09-30,856733.5675873869,21991.47925,38.957523404769915,46.05475433879247,18602.5
2020-10-31,938930.9861259338,22235.54325,42.22658180955097,50.05602988260406,18757.6
2020-11-30,709144.1584366462,22383.9265,31.680954565171852,37.32927085522168,18997.0
2020-12-31,696981.0323637066,22532.30975,30.93251602240674,36.46118281641303,19115.7
2021-01-31,655268.7750637988,22866.99725,28.655654605625966,33.813343055049216,19379.0
2021-02-28,521948.4592320635,23053.3015,22.640941872558404,26.573351690377844,19641.8
2021-03-31,533691.832678094,23239.60575,22.964754153718552,26.854851391728257,19873.2
