date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1987-01-22,regime,0.011771,1.35,1.265,normal,0.014001,-1.36,0.619,freeze,0.015588,-1.72,0.633,freeze
1987-01-23,regime,0.012653,1.84,1.36,normal,0.014636,-1.26,0.647,freeze,0.015507,-1.73,0.629,freeze
1987-01-26,regime,0.012832,1.93,1.379,normal,0.014401,-1.29,0.637,freeze,0.014984,-1.83,0.608,freeze
1987-01-27,regime,0.013445,2.27,1.445,riot,0.013218,-1.48,0.584,freeze,0.013856,-2.05,0.562,freeze
1987-01-28,regime,0.012902,1.97,1.387,normal,0.013243,-1.48,0.586,freeze,0.013515,-2.11,0.549,freeze
1987-01-29,regime,0.013501,2.3,1.451,riot,0.012635,-1.57,0.559,freeze,0.013137,-2.18,0.533,freeze
1987-01-30,regime,0.014698,2.96,1.58,riot,0.013335,-1.46,0.59,freeze,0.013227,-2.16,0.537,freeze
1987-02-02,regime,0.014708,2.96,1.581,riot,0.01274,-1.56,0.563,freeze,0.011927,-2.41,0.484,freeze
1987-02-03,regime,0.014748,2.98,1.585,riot,0.012625,-1.57,0.558,freeze,0.011588,-2.48,0.47,freeze
1987-02-04,regime,0.014756,2.99,1.586,riot,0.012973,-1.52,0.574,freeze,0.012109,-2.38,0.491,freeze
1987-02-05,post,0.014893,3.06,1.601,riot,0.012012,-1.67,0.531,freeze,0.012075,-2.38,0.49,freeze
1987-02-06,post,0.015557,3.43,1.672,riot,0.012601,-1.58,0.557,freeze,0.011975,-2.4,0.486,freeze
1987-02-09,post,0.015514,3.4,1.667,riot,0.012279,-1.63,0.543,freeze,0.011867,-2.42,0.482,freeze
1987-02-10,post,0.016234,3.8,1.745,riot,0.012287,-1.63,0.543,freeze,0.012631,-2.28,0.513,freeze
1987-02-11,post,0.015399,3.34,1.655,riot,0.011151,-1.81,0.493,freeze,0.013826,-2.05,0.561,freeze
1987-02-12,post,0.015642,3.47,1.681,riot,0.01115,-1.81,0.493,freeze,0.014046,-2.01,0.57,freeze
1987-02-13,post,0.016043,3.69,1.724,riot,0.011189,-1.8,0.495,freeze,0.014862,-1.85,0.603,freeze
1987-02-17,post,0.015924,3.63,1.712,riot,0.011079,-1.82,0.49,freeze,0.013948,-2.03,0.566,freeze
1987-02-18,post,0.015625,3.46,1.679,riot,0.011942,-1.68,0.528,freeze,0.014127,-1.99,0.573,freeze
