date,window,Au/USD_vol,Au/USD_z,Au/USD_ratio,Au/USD_state,Au/Equity_vol,Au/Equity_z,Au/Equity_ratio,Au/Equity_state,Au/Commodity_vol,Au/Commodity_z,Au/Commodity_ratio,Au/Commodity_state,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
2020-01-17,baseline,0.00731,0.2,1.025,normal,0.009029,-0.35,0.955,normal,0.01171,-1.18,0.707,freeze,0.00435,-0.47,0.874,normal,0.016058,-0.02,0.998,normal,0.016957,0.46,1.063,normal
2020-01-21,baseline,0.007346,0.24,1.03,normal,0.009024,-0.35,0.954,normal,0.011596,-1.21,0.7,freeze,0.004395,-0.44,0.883,normal,0.015951,-0.06,0.991,normal,0.016909,0.44,1.06,normal
2020-01-22,baseline,0.007156,0.03,1.003,normal,0.008834,-0.51,0.934,normal,0.012361,-1.02,0.747,freeze,0.004406,-0.43,0.885,normal,0.016477,0.17,1.024,normal,0.0173,0.62,1.085,normal
2020-01-23,baseline,0.007131,-0.0,1.0,normal,0.008842,-0.5,0.935,normal,0.013325,-0.79,0.805,normal,0.004431,-0.41,0.89,normal,0.017071,0.43,1.061,normal,0.017745,0.82,1.113,normal
2020-01-24,baseline,0.006841,-0.32,0.959,normal,0.008967,-0.4,0.948,normal,0.014171,-0.58,0.856,normal,0.005206,0.17,1.046,normal,0.017425,0.58,1.083,normal,0.017439,0.68,1.094,normal
2020-01-27,baseline,0.006733,-0.44,0.944,normal,0.009852,0.32,1.042,normal,0.014257,-0.56,0.861,normal,0.006449,1.11,1.296,normal,0.017257,0.51,1.072,normal,0.017279,0.61,1.084,normal
2020-01-28,baseline,0.006662,-0.52,0.934,normal,0.010552,0.89,1.116,normal,0.014804,-0.43,0.894,normal,0.006613,1.23,1.328,normal,0.017107,0.44,1.063,normal,0.01718,0.56,1.077,normal
2020-01-29,baseline,0.006658,-0.52,0.933,normal,0.010486,0.84,1.109,normal,0.014829,-0.42,0.896,normal,0.00655,1.18,1.316,normal,0.01709,0.44,1.062,normal,0.017054,0.5,1.069,normal
2020-01-30,baseline,0.006826,-0.34,0.957,normal,0.010534,0.88,1.114,normal,0.015515,-0.25,0.937,normal,0.006454,1.11,1.297,normal,0.017268,0.52,1.073,normal,0.017411,0.67,1.092,normal
2020-01-31,baseline,0.006829,-0.33,0.958,normal,0.011018,1.28,1.165,normal,0.015425,-0.28,0.932,normal,0.007012,1.53,1.409,normal,0.017243,0.51,1.071,normal,0.017724,0.81,1.111,normal
