date,window,USD/Equity_vol,USD/Equity_z,USD/Equity_ratio,USD/Equity_state,USD/Commodity_vol,USD/Commodity_z,USD/Commodity_ratio,USD/Commodity_state,Equity/Commodity_vol,Equity/Commodity_z,Equity/Commodity_ratio,Equity/Commodity_state
1990-11-16,regime,0.013972,0.61,1.101,normal,0.062748,1.28,1.281,normal,0.070512,1.09,1.255,normal
1990-11-19,regime,0.014031,0.63,1.106,normal,0.048526,-0.04,0.991,normal,0.058301,0.16,1.037,normal
1990-11-20,regime,0.014241,0.73,1.122,normal,0.049813,0.08,1.017,normal,0.058086,0.14,1.033,normal
1990-11-21,regime,0.01417,0.7,1.117,normal,0.049385,0.04,1.008,normal,0.05787,0.13,1.03,normal
1990-11-23,regime,0.013837,0.54,1.09,normal,0.046136,-0.26,0.942,normal,0.054032,-0.16,0.961,normal
1990-11-26,regime,0.013223,0.25,1.042,normal,0.045767,-0.3,0.934,normal,0.054203,-0.15,0.964,normal
1990-11-27,regime,0.012757,0.03,1.005,normal,0.043478,-0.51,0.888,normal,0.051124,-0.39,0.91,normal
1990-11-28,regime,0.012829,0.07,1.011,normal,0.043473,-0.51,0.888,normal,0.051133,-0.38,0.91,normal
1990-11-29,regime,0.013503,0.38,1.064,normal,0.04367,-0.5,0.892,normal,0.051,-0.39,0.907,normal
1990-11-30,regime,0.013931,0.59,1.098,normal,0.0508,0.17,1.037,normal,0.059512,0.25,1.059,normal
1990-12-03,regime,0.013177,0.23,1.038,normal,0.050564,0.15,1.032,normal,0.058762,0.19,1.045,normal
1990-12-04,regime,0.013083,0.19,1.031,normal,0.049553,0.05,1.012,normal,0.057269,0.08,1.019,normal
1990-12-05,regime,0.012758,0.03,1.006,normal,0.05124,0.21,1.046,normal,0.058972,0.21,1.049,normal
1990-12-06,regime,0.011904,-0.37,0.938,normal,0.045471,-0.33,0.928,normal,0.051779,-0.34,0.921,normal
1990-12-07,regime,0.011914,-0.37,0.939,normal,0.04597,-0.28,0.939,normal,0.052158,-0.31,0.928,normal
1990-12-10,regime,0.011251,-0.68,0.887,normal,0.045691,-0.31,0.933,normal,0.051178,-0.38,0.911,normal
1990-12-11,regime,0.010458,-1.05,0.824,freeze,0.044879,-0.38,0.916,normal,0.049197,-0.53,0.875,normal
1990-12-12,regime,0.010669,-0.95,0.841,normal,0.044148,-0.45,0.901,normal,0.048571,-0.58,0.864,normal
1990-12-13,regime,0.01052,-1.02,0.829,freeze,0.044256,-0.44,0.904,normal,0.048437,-0.59,0.862,normal
1990-12-14,regime,0.010359,-1.1,0.816,freeze,0.044326,-0.43,0.905,normal,0.048582,-0.58,0.864,normal
1990-12-17,regime,0.010434,-1.06,0.822,freeze,0.04419,-0.45,0.902,normal,0.048548,-0.58,0.864,normal
1990-12-18,regime,0.011017,-0.79,0.868,normal,0.043158,-0.54,0.881,normal,0.047429,-0.67,0.844,normal
1990-12-19,regime,0.010517,-1.02,0.829,freeze,0.041064,-0.74,0.838,normal,0.046513,-0.74,0.828,normal
1990-12-20,regime,0.011201,-0.7,0.883,normal,0.041601,-0.69,0.849,normal,0.046481,-0.74,0.827,normal
1990-12-21,regime,0.011115,-0.74,0.876,normal,0.037902,-1.03,0.774,freeze,0.042296,-1.06,0.753,freeze
1990-12-24,regime,0.011209,-0.7,0.883,normal,0.036974,-1.12,0.755,freeze,0.04159,-1.11,0.74,freeze
1990-12-26,regime,0.010998,-0.8,0.867,normal,0.037272,-1.09,0.761,freeze,0.041949,-1.08,0.746,freeze
1990-12-27,regime,0.010926,-0.83,0.861,normal,0.037165,-1.1,0.759,freeze,0.041732,-1.1,0.742,freeze
1990-12-28,regime,0.010885,-0.85,0.858,normal,0.038861,-0.94,0.793,normal,0.042404,-1.05,0.754,freeze
1990-12-31,regime,0.00988,-1.32,0.779,freeze,0.029855,-1.78,0.61,freeze,0.029766,-2.01,0.53,freeze
1991-01-02,regime,0.010013,-1.26,0.789,freeze,0.033336,-1.46,0.681,freeze,0.032315,-1.81,0.575,freeze
