ticker,trigger_date,case,coil_days,pivot_date,pivot_close,pivot_vol,dry_last_ratio,dry_mean_ratio,max_daily_amp,pullback,notes
KALV,2026-05-01,V2(C=2),2,2026-04-29,26.670000076293945,71372300.0,0.07174772285606601,0.13138640621081288,0.00225,0.00112,coil0.04% dry_last7%
NEO,2026-05-01,V2(C=2),2,2026-04-29,8.960000038146973,10801500.0,0.20949868073878627,0.25322408924686385,0.05724,0.01228,coil2.01% dry_last21%
PII,2026-05-01,V2(C=3),3,2026-04-28,66.47000122070312,4185700.0,0.22278233031512054,0.3246290942972502,0.03806,0.02422,coil1.43% dry_last22%
WKC,2026-05-01,V2(C=5),5,2026-04-24,26.110000610351562,3189600.0,0.2376160020065212,0.36618384750438926,0.04443,0.01877,coil3.26% dry_last24%
ELV,2026-05-01,V2(C=2),2,2026-04-29,376.6300048828125,2568000.0,0.297196261682243,0.48555295950155763,0.02737,0.02737,coil0.99% dry_last30%
TEVA,2026-05-01,V2(C=2),2,2026-04-29,35.380001068115234,22287100.0,0.2974770158522195,0.5097163830197737,0.03901,0.02459,coil0.34% dry_last30%
CVLT,2026-05-01,V2(C=3),3,2026-04-28,97.9800033569336,1866000.0,0.2978563772775991,0.4258127902822436,0.0495,0.01051,coil2.35% dry_last30%
CHEF,2026-05-01,V2(C=2),2,2026-04-29,75.69999694824219,1246500.0,0.3255515443241075,0.5245888487765744,0.06724,0.01823,coil1.62% dry_last33%
CNC,2026-05-01,V2(C=2),2,2026-04-29,53.97999954223633,17912300.0,0.32869034127387325,0.4694204541013717,0.02038,0.02149,coil0.65% dry_last33%
RSI,2026-05-01,V2(C=2),2,2026-04-29,27.979999542236328,6405500.0,0.3295605339161658,0.3434470377019749,0.0461,0.02216,coil0.82% dry_last33%
UMC,2026-05-01,V2(C=2),2,2026-04-29,12.75,25368600.0,0.33141757921209686,0.47072365049707116,0.05333,0.02353,coil0.08% dry_last33%
ESI,2026-05-01,V2(C=2),2,2026-04-29,42.560001373291016,8027700.0,0.3326357487200568,0.441265866935735,0.03383,0.00799,coil0.99% dry_last33%
DDI,2026-04-30,V2(C=2),2,2026-04-28,10.989999771118164,1373900.0,0.10313705509862435,0.20143387437222504,0.01911,0.02184,coil0.09% dry_last10%
HRTX,2026-04-30,V2(C=4),4,2026-04-24,1.190000057220459,6080700.0,0.17440426266712714,0.34396944430739884,0.08403,0.02521,coil1.68% dry_last17%
KGEI,2026-04-30,V2(C=4),4,2026-04-24,5.46999979019165,1146600.0,0.19666841095412524,0.2212410605267748,0.06399,0.00366,coil3.66% dry_last20%
WKC,2026-04-30,V2(C=4),4,2026-04-24,26.110000610351562,3189600.0,0.2558628041133684,0.39832580887885627,0.04443,0.01877,coil2.91% dry_last26%
WYY,2026-04-30,V2(C=2),2,2026-04-28,6.170000076293945,175300.0,0.2835139760410724,0.28436965202509984,0.09238,0.01945,coil0.97% dry_last28%
KNSA,2026-04-30,V2(C=2),2,2026-04-28,53.849998474121094,3030900.0,0.2842060114157511,0.3526015374971131,0.03742,0.02897,coil1.47% dry_last28%
PII,2026-04-30,V2(C=2),2,2026-04-28,66.47000122070312,4185700.0,0.30324676876030293,0.37555247628831495,0.03806,0.02422,coil1.43% dry_last30%
